algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
hungarian_scipy,1000,uniform,0,,ok,1.6248198110858956,1.62482,-1.1626771234674038e-07,0.0470824241638183,,1.6248198110858956,0.0,unlimited_hungarian,Венгерский SciPy
greedy,1000,uniform,0,,ok,6.726279968165372,1.62482,3.139707763423254,1.3439562320709229,,1.6248198110858956,3.1397082447376614,unlimited_hungarian,Жадный
aco,1000,uniform,1,250.0,ok,4.787410399536507,1.641331,1.9167854622477165,250.7742917537689,17.0,1.6413305815376849,1.916786205891204,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,1000,uniform,1,250.0,ok,1.6413305815376849,1.641331,-2.5495303213052267e-07,21.066691637039185,22860.0,1.6413305815376849,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,1000,uniform,1,,ok,1.6413305815376849,1.641331,-2.5495303213052267e-07,0.0468809604644775,,1.6413305815376849,0.0,unlimited_hungarian,Венгерский SciPy
greedy,1000,uniform,1,,ok,6.004178056202741,1.641331,2.658115307761043,1.344414234161377,,1.6413305815376849,2.6581162404088707,unlimited_hungarian,Жадный
aco,1000,uniform,2,250.0,ok,4.945336610406805,1.707851,1.8956487482847186,250.19811415672305,17.0,1.7078513784263705,1.895648106665747,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,1000,uniform,2,250.0,ok,1.7078513784263705,1.707851,2.2158043666564708e-07,21.584909677505493,23834.0,1.7078513784263705,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,1000,uniform,2,,ok,1.7078513784263705,1.707851,2.2158043666564708e-07,0.0624470710754394,,1.7078513784263705,0.0,unlimited_hungarian,Венгерский SciPy
greedy,1000,uniform,2,,ok,6.031548533166189,1.707851,2.531659689964868,1.2969388961791992,,1.7078513784263705,2.531658907418344,unlimited_hungarian,Жадный
aco,1000,uniform,3,250.0,ok,4.825339921073537,1.595814,2.023748332245197,250.47576999664307,17.0,1.5958138051694903,2.023748701410088,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,1000,uniform,3,250.0,ok,1.5958138051694903,1.595814,-1.2208848254591231e-07,22.22609663009644,24612.0,1.5958138051694903,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,1000,uniform,3,,ok,1.5958138051694903,1.595814,-1.2208848254591231e-07,0.0470693111419677,,1.5958138051694903,0.0,unlimited_hungarian,Венгерский SciPy
greedy,1000,uniform,3,,ok,6.83618661148264,1.595814,3.283824187206429,1.361782789230347,,1.5958138051694903,3.2838247102120874,unlimited_hungarian,Жадный
aco,1000,uniform,4,250.0,ok,5.078705440218189,1.684852,2.0143332709449786,250.1964945793152,17.0,1.684851685020159,2.014333834468892,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,1000,uniform,4,250.0,ok,1.684851685020159,1.684852,-1.8694807679686676e-07,21.46484351158142,23524.0,1.684851685020159,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,1000,uniform,4,,ok,1.684851685020159,1.684852,-1.8694807679686676e-07,0.0468688011169433,,1.684851685020159,0.0,unlimited_hungarian,Венгерский SciPy
greedy,1000,uniform,4,,ok,6.49499521950475,1.684852,2.8549351631506803,1.3270595073699951,,1.684851685020159,2.8549358838235297,unlimited_hungarian,Жадный
