algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display,exp_mode
hungarian_manual,50,uniform,0,1.0,ok,1.1652531686491898,1.165253,1.4473182186058867e-07,0.0156214237213134,233.0,1.1652531686491898,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,50,uniform,0,,ok,1.1652531686491898,1.165253,1.4473182186058867e-07,0.0,,1.1652531686491898,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,50,uniform,0,,ok,2.824677876557933,1.165253,1.424089769825036,0.0,,1.1652531686491898,1.424089418982158,unlimited_hungarian,Жадный,modeB
aco,50,uniform,1,1.0,ok,2.2263947942340216,1.660613,0.3407065910203171,1.0031139850616455,10.0,1.6606134242525727,0.34070624849736,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,50,uniform,1,1.0,ok,1.6606134242525727,1.660613,2.5547949644710854e-07,0.0,179.0,1.6606134242525727,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,50,uniform,1,,ok,1.6606134242525727,1.660613,2.5547949644710854e-07,0.0,,1.6606134242525727,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,50,uniform,1,,ok,3.0475553722192386,1.660613,0.8351990332601507,0.0,,1.6606134242525727,0.8351985644045459,unlimited_hungarian,Жадный,modeB
aco,50,uniform,2,1.0,ok,1.932639358719936,1.572893,0.2287163581501958,1.0024588108062744,10.0,1.5728928051373516,0.2287165103734896,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,50,uniform,2,1.0,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0,211.0,1.5728928051373516,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,50,uniform,2,,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0,,1.5728928051373516,0.0,unlimited_hungarian,Венгерский SciPy,modeB
